Name,Manufacturer_Type,Parent_Company_HQ,Car_Type,Drive_Wheels_Available,Seating,Engine_liter,HP,Length_in,Width_in,Height_in,Wheelbase_in,Weight_lbs,Cargo_Volume_cuft,Overall_MPG,Lowest_MSRP,Drive_Wheels_Max
Nissan Maxima,Foreign,Japan,Sedan,Front,5,3.5,300,193,73,57,109,3535,14,25,34050,Front
Nissan Sentra,Foreign,Japan,Sedan,Front,5,1.6,188,182,69,59,106,2865,15,31,17890,Front
Nissan Versa,Foreign,Japan,Sedan,Front,5,1.6,122,175,67,60,102,2494,38.3,34,14730,Front
Toyota Avalon,Foreign,Japan,Sedan,Front,5,2.5,215,196,73,57,113,3680,16,42,35650,Front
Toyota Camry,Foreign,Japan,Sedan,Front,5,2.5,203,192,72,57,111,3340,15,32,24095,Front
Toyota C-HR,Foreign,Japan,Wagon,Front,5,2,144,171,71,62,104,3290,19.5,39,21145,Front
Toyota Corolla,Foreign,Japan,Sedan,Front,5,1.8,121,183,70,57,106,2960,13,32,19500,Front
Toyota Yaris,Foreign,Japan,Sedan,Front,5,1.5,106,172,67,59,101,2420,13,35,15600,Front
Volkswagen GT1,Foreign,Germany,Hatchback,Front,5,2,228,166,70,58,102,3155,24,29,27595,Front
Volkswagen Jetta,Foreign,Germany,Sedan,Front,5,1.4,147,185,71,57,106,3065,16,34,18745,Front
Volkswagen Passat,Foreign,Germany,Sedan,Front,5,2,174,192,72,59,110,3320,16,28,25295,Front
Buick Enclave,Domestic,USA,SUV,"Front, AWD",7,3.6,310,204,79,70,121,4690,48.5,18,40000,All
Buick Encore,Domestic,USA,SUV,"Front, AWD",5,1.4,138,168,70,65,101,3355,26,23,23200,All
Buick Envision,Domestic,USA,SUV,"Front, AWD",5,2,252,184,72,67,108,4050,32.5,21,31995,All
Buick Regal,Domestic,USA,Hatchback,"Front, AWD",5,2,250,193,73,57,111,3680,32,23,25070,All
Cadillac XT4,Domestic,USA,SUV,"Front, AWD",5,2,237,181,77,63,109,3930,26.5,23,34795,All
Cadillac XT5,Domestic,USA,SUV,"Front, AWD",5,2,230,190,75,66,113,4300,33,20,41695,All
Cadillac XTS,Domestic,USA,Sedan,"Front, AWD",5,3.6,304,202,73,59,112,4090,18,22,46795,All
Chevrolet Blazer,Domestic,USA,SUV,"Front, AWD",5,2.5,193,191,77,67,113,4235,34.5,19,28800,All
Chevrolet Equinox,Domestic,USA,SUV,"Front, AWD",5,1.5,170,183,73,65,107,3540,32,31,23800,All
Chevrolet Traverse,Domestic,USA,SUV,"Front, AWD",8,3.6,310,204,79,71,121,4695,54.5,20,29800,All
Ford EcoSport,Domestic,USA,SUV,"Front, AWD",5,1,123,161,70,65,99,3390,22.5,24,20485,All
Ford Edge,Domestic,USA,SUV,"Front, AWD",5,2,250,189,76,68,112,4250,39,22,29995,All
Ford Escape,Domestic,USA,SUV,"Front, AWD",5,1.5,250,181,74,69,107,3465,34.4,24,24885,All
Ford Fusion,Domestic,USA,Sedan,"Front, AWD",5,1.5,181,193,73,58,112,3505,16,25,22840,All
GMC Acadia,Domestic,USA,SUV,"Front, AWD",6,2.5,193,194,75,66,113,4395,40.5,19,29000,All
GMC Terrain,Domestic,USA,SUV,"Front, AWD",5,1.5,170,182,72,65,107,3800,33,22,25000,All
Jeep Renegade,Domestic,USA,SUV,"Front, AWD",5,1.3,177,167,71,66,101,3360,30.5,24,22025,All
Lincoln Continental,Domestic,USA,Sedan,"Front, AWD",5,2.7,335,201,78,59,118,4540,17,20,46145,All
Lincoln Corsair,Domestic,USA,SUV,"Front, AWD",5,2,250,181,76,64,107,3691,34,21,35495,All
Lincoln MKZ,Domestic,USA,Sedan,"Front, AWD",5,2,188,194,73,58,112,3755,15,40,35995,All
Lincoln Nautilus,Domestic,USA,SUV,"Front, AWD",5,2,245,190,76,66,112,4560,32.5,18,40340,All
Acura MDX,Foreign,Japan,SUV,"Front, AWD",7,3,321,196,77,67,111,4200,34,21,44300,All
Acura RDX,Foreign,Japan,SUV,"Front, AWD",5,2,272,187,74,66,108,4005,33,22,37600,All
Acura RLX,Foreign,Japan,Sedan,"Front, AWD",5,3.5,310,198,74,58,112,3930,15,23,54900,All
Acura TLX,Foreign,Japan,Sedan,"Front, AWD",5,2.4,206,190,74,57,109,3480,13,26,33000,All
Audi A3,Foreign,Germany,Sedan,"Front, AWD",5,2,184,175,70,56,104,3135,13,27,33300,All
Audi A4,Foreign,Germany,Sedan,"Front, AWD",5,2,188,186,73,56,111,3630,13,27,39200,All
BMW X1,Foreign,Germany,SUV,"Front, AWD",5,2,228,175,72,63,105,3725,27,26,34950,All
BMW X2,Foreign,Germany,SUV,"Front, AWD",5,2,228,172,72,60,105,3645,23.5,25,36400,All
Honda CR-V,Foreign,Japan,SUV,"Front, AWD",5,1.5,190,181,73,67,105,3450,36,27.5,24350,All
Honda HR-V,Foreign,Japan,SUV,"Front, AWD",5,1.8,141,169,72,56,106,3045,32,29,20520,All
Honda Passport,Foreign,Japan,SUV,"Front, AWD",5,3.5,280,191,79,72,111,4170,39,21,31990,All
Hyundai Kona,Foreign,Korea,SUV,"Front, AWD",5,1.6,75,164,71,61,102,3145,22.5,27.5,19990,All
Hyundai Palisade,Foreign,Korea,SUV,"Front, AWD",8,3.8,291,196,78,69,114,4385,21,21,31550,All
Hyundai Santa Fe,Foreign,Korea,SUV,"Front, AWD",5,2,235,188,74,66,109,4015,35.5,21,25750,All
Hyundai Tucson,Foreign,Korea,SUV,"Front, AWD",5,2,164,176,73,65,105,3520,29.5,23,23200,All
Infinity QX30,Foreign,Japan,SUV,"Front, AWD",5,2,208,174,72,60,106,3540,21.5,25,30250,All
Infinity QX50,Foreign,Japan,SUV,"Front, AWD",5,2,268,185,75,66,110,4155,30.5,22,36650,All
Infinity QX60,Foreign,Japan,SUV,"Front, AWD",7,3.5,295,201,77,69,114,4530,39,19,44350,All
Kia Sorento,Foreign,Korea,SUV,"Front, AWD",7,2.4,185,189,74,66,109,4285,37.5,22,26290,All
Kia Sportage,Foreign,Korea,SUV,"Front, AWD",5,2,240,176,73,64,105,3485,29.5,23,23990,All
Kia Telluride,Foreign,Korea,SUV,"Front, AWD",8,3.8,291,197,78,69,114,4300,47.5,21,31690,All
Lexus UX,Foreign,Japan,SUV,"Front, AWD",5,2,169,177,72,60,104,3570,18,37,32150,All
Mazda 3,Foreign,Japan,Sedan,"Front, AWD",5,3,345,184,71,57,107,3025,13,30,21000,All
Mazda CX-3,Foreign,Japan,SUV,"Front, AWD",5,2,187,168,70,61,101,2945,18,28,20390,All
Mazda CX-5,Foreign,Japan,SUV,"Front, AWD",5,2.2,250,179,73,66,106,3590,30.5,24,24350,All
Mazda CX-9,Foreign,Japan,SUV,"Front, AWD",7,2.5,227,200,76,68,113,4585,34,32,32280,All
Mercedes-Benz A Class,Foreign,Germany,Sedan,"Front, AWD",5,2,188,179,71,57,107,3425,9,28,32500,All
Mercedes-Benz CLA,Foreign,Germany,Sedan,"Front, AWD",5,2,221,185,72,57,107,3335,16,27,33100,All
Mercedes-Benz GLA,Foreign,Germany,SUV,"Front, AWD",5,2,208,174,71,60,106,3535,23,26,33950,All
Mini Cooper Clubman,Foreign,Germany,Wagon,"Front, AWD",5,1.5,134,168,71,57,105,3175,23,28,24900,All
Mini Cooper Countryman,Foreign,Germany,SUV,"Front, AWD",5,1.5,134,170,72,61,105,3690,23.5,25,26900,All
Mitsubishi Eclipse,Foreign,Japan,SUV,"Front, AWD",5,1.5,152,173,71,67,105,3515,22.5,24,23595,All
Mitsubishi Outlander,Foreign,Japan,SUV,"Front, AWD",7,2,197,185,71,66,105,3610,32.5,24,24695,All
Mitsubishi Outlander Sport,Foreign,Japan,SUV,"Front, AWD",5,2,148,169,70,64,105,3290,25.5,26,20945,All
Nissan Altima,Foreign,Japan,Sedan,"Front, AWD",5,2,248,193,73,57,111,3240,15,31,24000,All
Nissan Murano,Foreign,Japan,SUV,"Front, AWD",5,3.5,260,192,75,67,111,4025,33.5,21,31370,All
Nissan Pathfinder,Foreign,Japan,SUV,"Front, AWD",7,3.5,284,199,77,70,114,4505,39.5,18,31530,All
Nissan Rogue,Foreign,Japan,SUV,"Front, AWD",5,2.5,170,185,72,66,107,3590,31.5,24,25020,All
Nissan Rogue Sport,Foreign,Japan,SUV,"Front, AWD",5,2,141,172,72,63,104,3365,24.5,26,22340,All
Toyota Highlander,Foreign,Japan,SUV,"Front, AWD",8,2.5,240,193,76,68,110,4134,13.6,22,32000,All
Toyota RAV4,Foreign,Japan,SUV,"Front, AWD",5,2.5,203,181,73,67,106,3510,30.5,30,25650,All
Toyota Sienna,Foreign,Japan,Minivan,"Front, AWD",8,3.5,296,201,78,71,119,4550,70.5,21,31415,All
Volkswagen Arteon,Foreign,Germany,Hatchback,"Front, AWD",5,2,268,191,74,57,112,3850,27,23,35845,All
Volkswagen Atlas,Foreign,Germany,SUV,"Front, AWD",7,2,235,198,78,70,117,4670,50.5,20,30895,All
Volkswagen Golf,Foreign,Germany,Hatchback,"Front, AWD",5,0,134,168,71,57,104,3459,24,125,31895,All
Volkswagen Tiguan,Foreign,Germany,SUV,"Front, AWD",7,2,184,185,72,66,110,3860,33,25,24295,All
Volvo S60,Foreign,China,Sedan,"Front, AWD",5,2,250,187,80,57,113,3740,12,26,35800,All
Volvo S90,Foreign,China,Sedan,"Front, AWD",5,2,250,195,74,57,116,4085,14,23,47350,All
Volvo XC40,Foreign,China,SUV,"Front, AWD",5,2,187,174,73,65,106,3785,25.5,24,33700,All
Volvo XC60,Foreign,China,SUV,"Front, AWD",5,2,250,185,79,65,113,4150,34,23,39800,All
Volvo XC90,Foreign,China,SUV,"Front, AWD",7,2,250,195,84,70,118,4595,35,20,47700,All
Jeep Cherokee,Domestic,USA,SUV,"Front, AWD,",5,2,270,182,73,66,107,4070,31,23,24795,All
Jeep Compass,Domestic,USA,SUV,"Front, AWD,",5,2.4,180,173,74,65,104,3525,27.5,24,21845,All
Chevrolet Camaro,Domestic,USA,Coupe,Rear,4,2,275,188,75,53,111,3730,11,20,25000,Rear
Chevrolet Corvette,Domestic,USA,Hatchback,Rear,2,6.2,455,177,74,49,107,3470,15,20,55900,Rear
Ford Mustang,Domestic,USA,Coupe,Rear,4,2.3,310,188,75,54,107,3845,14,22,26670,Rear
BMW Z4,Foreign,Germany,Convertible,Rear,2,2,255,171,73,53,97,3290,10,29,49700,Rear
BMW i3,Foreign,Germany,Hatchback,Rear,4,0,170,157,70,62,101,3140,12,113,44450,Rear
Fiat 124,Foreign,Italy,Convertible,Rear,2,1.4,160,160,69,49,91,2450,5,31,25190,Rear
Mazda Mx-5 Miata,Foreign,Japan,Convertible,Rear,2,2,181,154,68,49,91,2335,5,34,25730,Rear
Nissan Z,Foreign,Japan,Coupe,Rear,2,3.7,322,167,73,52,100,3385,7,23,34040,Rear
Porsche 718 Boxster,Foreign,Germany,Convertible,Rear,2,2,300,172,71,50,97,3150,4,26,59000,Rear
Porsche 718 Cayman,Foreign,Germany,Coupe,Rear,2,2,300,172,71,51,97,3055,10,24,56900,Rear
Subaru BRZ,Foreign,Japan,Coupe,Rear,4,2,200,167,70,51,101,2770,7,30,25795,Rear
Toyota 86,Foreign,Japan,Coupe,Rear,4,4,205,167,70,51,101,2770,7,30,26655,Rear
Toyota Supra,Foreign,Japan,Hatchback,Rear,2,3,335,173,73,51,97,3400,10,26,49990,Rear
Jeep Grand Cherokee,Domestic,USA,SUV,"Rear, 4WD",5,3,240,190,77,68,115,4900,36.5,21,31945,Four
Nissan Armada,Foreign,Japan,SUV,"Rear, 4WD",7,5.6,390,209,80,76,121,5910,47,14,47100,Four
Cadillac CT6,Domestic,USA,Sedan,"Rear, AWD",5,2,237,204,74,58,122,4040,15,22,50495,All
Cadillac Escalade,Domestic,USA,SUV,"Rear, AWD",8,6.2,420,204,81,74,116,5820,48,16,75195,All
Chevrolet Suburban,Domestic,USA,SUV,"Rear, AWD",9,5,355,224,82,74,130,5945,62.5,16,49700,All
Chrysler 300,Domestic,USA,Sedan,"Rear, AWD",5,3.6,292,199,75,58,120,4095,16,21,29220,All
Dodge Challenger,Domestic,USA,Coupe,"Rear, AWD",5,3.6,305,198,76,57,116,4190,16,20,27845,All
Dodge Charger,Domestic,USA,Sedan,"Rear, AWD",5,3.6,292,198,75,58,120,4335,16,21,29220,All
Dodge Durango,Domestic,USA,Sedan,"Rear, AWD",8,3.6,293,200,76,71,120,5105,44,18,30195,All
Ford Expedition,Domestic,USA,SUV,"Rear, AWD",9,3.5,375,222,82,76,132,6035,66,16,48530,All
Ford Explorer,Domestic,USA,SUV,"Rear, AWD",7,2.3,325,199,79,70,119,4345,87.8,23,28155,All
Genesis G70,Domestic,USA,Sedan,"Rear, AWD",5,2,252,184,73,55,112,3770,11,23,34900,All
Genesis G80,Domestic,USA,Sedan,"Rear, AWD",5,3.3,365,197,74,58,119,4530,15,20,42050,All
Genesis G90,Domestic,USA,Sedan,"Rear, AWD",5,3.3,365,205,75,59,124,4820,16,18,69350,All
Lincoln Aviator,Domestic,USA,SUV,"Rear, AWD",7,3,400,199,80,70,119,4900,21.5,20,51100,All
Lincoln Navigator,Domestic,USA,SUV,"Rear, AWD",8,3.5,411,210,84,76,123,6100,56,16,73205,All
Tesla Model 3,Domestic,USA,Sedan,"Rear, AWD",5,0,258,185,73,57,113,3895,15,130,39900,All
Alfa Romeo Giulia,Foreign,Italy,Sedan,"Rear, AWD",5,2,280,183,74,57,111,3695,12,27,38295,All
Alfa Romeo Stelvio,Foreign,Italy,SUV,"Rear, AWD",5,2,280,185,75,65,111,4020,26.5,24,40295,All
BMW 2 Series,Foreign,Germany,Coupe,"Rear, AWD",4,2,248,175,70,56,106,3450,14,25,35300,All
BMW 3 Series,Foreign,Germany,Sedan,"Rear, AWD",5,2,255,186,72,57,112,3640,17,29,40250,All
BMW 4 Series,Foreign,Germany,Coupe,"Rear, AWD",4,2,248,183,72,54,111,3470,16,27,44600,All
BMW 5 Series,Foreign,Germany,Sedan,"Rear, AWD",5,2,248,195,74,58,117,3950,19,26,53400,All
BMW 6 Series,Foreign,Germany,Sedan,"Rear, AWD",5,3,315,193,75,54,112,4355,13,20,70300,All
BMW 7 Series,Foreign,Germany,Sedan,"Rear, AWD",5,2,322,207,75,58,126,4710,18,21,83650,All
BMW X3,Foreign,Germany,SUV,"Rear, AWD",5,2,248,186,74,66,113,4220,32,24,41000,All
BMW X5,Foreign,Germany,SUV,"Rear, AWD",5,3,335,194,79,69,117,4740,36.5,23,60700,All
BMW X6,Foreign,Germany,SUV,"Rear, AWD",5,3,300,192,78,67,116,4750,26.6,20,63550,All
Infinity Q50,Foreign,Japan,Sedan,"Rear, AWD",5,2,208,188,72,57,112,3875,14,22,35650,All
Infinity Q70,Foreign,Japan,Sedan,"Rear, AWD",5,3.7,330,195,73,59,114,3895,15,21,50400,All
Infinity QX80,Foreign,Japan,SUV,"Rear, AWD",8,5.6,400,210,80,76,121,5990,49.5,15,65500,All
Kia Stinger,Foreign,Korea,Hatchback,"Rear, AWD",5,2,255,190,74,55,114,3910,23,23,32990,All
Lexus GS,Foreign,Japan,Sedan,"Rear, AWD",5,2,241,192,72,57,112,3845,16,21,46860,All
Lexus IS,Foreign,Japan,Sedan,"Rear, AWD",5,2,241,184,71,56,110,3850,14,20,38560,All
Lexus US,Foreign,Japan,Sedan,"Rear, AWD",5,3.5,354,206,75,58,123,5170,17,20,75450,All
Maserati Ghibli,Foreign,Italy,Sedan,"Rear, AWD",5,3,345,196,77,58,118,4625,18,19,74980,All
Mercedes-Benz C Class,Foreign,Germany,Sedan,"Rear, AWD",5,2,255,185,71,57,112,3670,13,26,41400,All
Mercedes-Benz CLS,Foreign,Germany,Sedan,"Rear, AWD",5,3,362,199,74,55,116,4255,12,26,69200,All
Mercedes-Benz E-Class,Foreign,Germany,Sedan,"Rear, AWD",5,2,255,194,73,57,116,4030,16,24,53500,All
Mercedes-Benz GLC,Foreign,Germany,SUV,"Rear, AWD",5,2,241,183,74,65,113,4010,28,22,40700,All
Mercedes-Benz GLE,Foreign,Germany,SUV,"Rear, AWD",5,2,255,194,77,71,118,5150,36.5,20,53700,All
Mercedes-Benz S-Class,Foreign,Germany,Sedan,"Rear, AWD",5,3,362,207,75,59,125,4935,16,18,91250,All
Porsche 911,Foreign,Germany,Coupe,"Rear, AWD",4,3,443,178,73,51,97,3380,5,23,113000,All
Porsche Panamera,Foreign,Germany,Hatchback,"Rear, AWD",4,2.9,440,199,76,56,116,4125,17,23,86300,All
Toyota 4Runner,Foreign,Japan,SUV,"Rear, AWD",7,4,270,190,76,72,110,4665,44.5,18,35310,All
Toyota Sequoia,Foreign,Japan,SUV,"Rear, AWD",8,5.7,381,205,80,75,122,6025,61,15,49050,All
