model_name,brand,processor_name,ram,ssd,OperatingSystem,screen_size,no_of_cores
Acer Predator Helios 500 Ph517-52 Gaming Laptop,Acer,11th Gen Core i9,64,2000,Windows,17.3,8
Lenovo Ideapad Gaming 3 82K201UNIN Laptop,Lenovo,Ryzen 7 5800H,16,512,Windows,15.6,8
Lenovo IdeaPad Slim 3 82H701DNIN Laptop,Lenovo,11th Gen Core i3,8,512,Windows,14,2
Dell Vostro 5625 laptop,Dell,Ryzen 5-5625U,8,512,Windows,16,6
HP Pavilion 14-eh0024TU Laptop,HP,12th Gen Core i7,16,1000,Windows,14,14
Dell XPS 13 Plus 9320 Laptop,Dell,12th Gen Core i7,16,1000,Windows,13.4,12
Asus ZenBook Pro Duo 15 OLED 2022 UX582ZM-H701WS Laptop,Asus,12th Gen Core i7,32,1000,Windows,15.6,14
Dell Alienware x14 Gaming Laptop,Dell,12th Gen Core i7,16,512,Windows,15.6,14
HP Victus 15-fa0354TX Laptop,HP,12th Gen Core i7,16,512,Windows,15.6,10
HP 15s-fq2671TU Laptop,HP,11th Gen Core i3,8,512,Windows,15.6,2
MSI Katana GF66 11UE-861IN Gaming Laptop,MSI,11th Gen Core i7,16,512,Windows,15.6,8
Lenovo Yoga Slim 7 Pro 82NC00EWIN Laptop,Lenovo,11th Gen Core i5,16,512,Windows,14,4
HP 15s- fr2512TU Laptop,HP,11th Gen Core i3,8,256,Windows,15.6,4
Lenovo IdeaPad Slim 3 82RK006DIN Laptop,Lenovo,12th Gen Core i3,8,512,Windows,15.6,6
HP Victus 16-e0650AX Gaming Laptop,HP,AMD Ryzen 7 5800H,8,512,Windows,16.1,8
Lenovo V15 82KBA03TIH Laptop,Lenovo,11th Gen Core i3,8,256,Windows,15.6,2
Lenovo IdeaPad Gaming 3 82K101B7IN Laptop,Lenovo,11th Gen Core i5,16,256,Windows,15.6,4
Dell Inspiron 7420 D560780WIN9S Laptop,Dell,12th Gen Core i3,8,256,Windows,14,6
Dell Inspiron 7420 Laptop,Dell,12th Gen Core i5,8,512,Windows,14,10
Dell Inspiron 7620 Laptop,Dell,12th Gen Core i5,16,512,Windows,16,10
Dell Inspiron 7420 2-in-1 Laptop,Dell,12th Gen Core i7,16,512,Windows,14,10
Asus ROG Strix G15 G513IE-HN040WS Gaming Laptop,Asus,Ryzen 7 4800H,16,1000,Windows,15.6,8
Infinix INBook X1 Slim XL21 Laptop,Infinix,10th Gen Core i5,16,512,Windows,14,4
HP 255 G8 62Y23PA Laptop,HP,Ryzen 3 3250U,8,512,Windows,15.6,2
Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop,Asus,Ryzen 7-5800H,16,512,Windows,16,8
HP Pavilion 15-eg2036TU Laptop,HP,12th Gen Core i5,16,512,Windows,15.6,12
Asus TUF Gaming F17 FX707ZM-HX030WS Laptop,Asus,12th Gen Core i7,16,1000,Windows,17.3,14
Asus Vivobook Pro 14 OLED M3400QA-KM702WS Gaming Laptop,Asus,Ryzen 7 5800H,16,512,Windows,14,8
Infinix INBook X1 Slim Series XL21 Laptop,Infinix,10th Gen Core i3,8,512,Windows,14,2
Asus TUF Gaming A15 FA506ICB-HN005W Laptop,Asus,Ryzen 7 4800H,8,512,Windows,15.6,8
Asus TUF Gaming F15 FX577ZM-HQ067WS Laptop,Asus,12th Gen Core i7,16,1000,Windows,15.6,14
Acer Aspire Vero AV15-51-5155 Laptop,Acer,11th Gen Core i5,16,512,Windows,15.6,4
Apple MacBook Air 2022 Laptop,Apple,Apple M2,8,512,Mac,13.6,8
Asus TUF Gaming F15 FA506IHRB-HN079W Gaming Laptop,Asus,AMD Ryzen 5 4600H,8,512,Windows,15.6,6
Asus Vivobook S15 OLED S3502ZA-L502WS Laptop,Asus,12th Gen Core i5,16,512,Windows,15.6,12
HP Pavilion 14-dv2053TU Laptop,HP,12th Gen Core i5,8,512,Windows,14,10
HP Pavilion 15s-fq5010TU Laptop,HP,12th Gen Core i5,8,512,Windows,15.6,12
Lenovo Ideapad Slim 3 81WB01EBIN Laptop,Lenovo,10th Gen Core i3,8,512,Windows,15.6,2
HP Pavilion 15s-FQ5009TU Laptop,HP,12th Gen Core i5,8,512,Windows,15.6,10
Samsung Galaxy Book2 Laptop,Samsung,12th Gen Core i5,8,512,Windows,15.6,12
Asus Strix G15 G513RM-HQ271WS Gaming Laptop,Asus,Ryzen 7 6800H,16,1000,Windows,15.6,8
Dell Inspiron 5520 Laptop,Dell,12th Gen Core i5,16,512,Windows,15.6,12
Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop,Asus,12th Gen Core i5,16,512,Windows,14,12
HP Pavilion 15-EG2019TX Laptop,HP,12th Gen Core i5,16,512,Windows,15.6,10
Samsung Galaxy Book2 15 Laptop,Samsung,12th Gen Core i7,16,512,Windows,15.6,10
Samsung Galaxy Book2 15 Laptop,Samsung,12th Gen Core i5,8,512,Windows,15.6,10
Dell G15-5511 Gaming Laptop,Dell,11th Gen Core i5,8,512,Windows,15.6,6
Lenovo IdeaPad 3 81WQ00MQIN Laptop,Lenovo,Celeron N4020,8,256,Windows,15.6,2
Dell G15-5520 Laptop,Dell,12th Gen Core i5,16,512,Windows,15.6,12
HP Pavilion 15-EG2035TU Laptop,HP,12th Gen Core i5,16,512,Windows,15.6,8
Acer Nitro 5 AN515-58 Gaming Laptop,Acer,12th Gen Core i5,8,512,Windows,15.6,8
Asus TUF Gaming A15 2021 FA506QM-HN124W Laptop,Asus,Ryzen 9 5900HX,16,512,Windows,15.6,8
Lenovo V15-IGL 82C3A008IH Laptop,Lenovo,Celeron N4020,4,256,DOS,15.6,2
Dell Latitude 3420 Laptop,Dell,11th Gen Core i5,16,256,Windows,14,4
Dell Inspiron 3521 Laptop,Dell,Pentium N5030,8,256,Windows,15.6,4
Dell Vostro 5625 laptop,Dell,Ryzen 5-5625U,16,512,Windows,16,6
HP 240 G8 Laptop,HP,11th Gen Core i5,8,512,Windows,14,4
Lenovo E41-55 82FJ009JIH Laptop,Lenovo,Athlon Pro 3045B,4,0,DOS,14,2
HP Pavilion 15-eh2018AU Laptop,HP,Ryzen 5 5625U,8,512,Windows,15.6,6
HP Pavilion 14-ec1003AU Laptop,HP,Ryzen 5,8,512,Windows,14,6
Samsung Galaxy Book2 Pro 360 13 Laptop,Samsung,12th Gen Core i7,16,512,Windows,13.3,8
Dell Vostro 3510 Laptop,Dell,11th Gen Core i5,8,512,Windows,15.6,4
Asus Vivobook 15 X515MA-BR101W Laptop,Asus,Pentium Quad Core,4,0,Windows,15.6,4
Samsung Galaxy Book2 Pro 360 13 Laptop,Samsung,12th Gen Core i5,16,512,Windows,13.3,12
Asus Vivobook 13 Slate OLED T3300KA-LQ111WS Laptop,Asus,Pentium Silver N6000,8,256,Windows,13.3,4
Apple MacBook Air 2020 Z124J002KD Laptop,Apple,Apple M1,16,512,Mac,13.3,8
HP 14s-fq1089au Laptop,HP,Ryzen 3 5300U,8,512,Windows,14,4
HP 15s- fq4021TU Laptop,HP,11th Gen Core i5,8,512,Windows,15.6,4
Apple MacBook Air 2020 Z124J001KD Laptop,Apple,Apple M1,16,256,Mac,13.3,8
HP 15s-eq2143au Laptop,HP,Ryzen 3 5300U,8,512,Windows,15.6,4
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i5,8,256,Windows,15.6,4
Lenovo IdeaPad 3 82H801L7IN,Lenovo,11th Gen Core i3,8,512,Windows,15.6,2
Dell Latitude 7410 Laptop,Dell,10th Gen Core i5,8,256,Windows,14,4
HP Pavilion 15-EC2145AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,Windows,15.6,6
HP Pavilion 15-ec2150AX Laptop,HP,Ryzen 5 5600H,8,512,Windows,15.6,6
Dell Latitude 5420 Laptop,Dell,11th Gen Core i7,16,512,Windows,14,4
HP 14s-dy2506TU Laptop,HP,11th Gen Core i3,8,256,Windows,14,4
Lenovo IdeaPad 3 15ITL6 82H801L3IN Laptop,Lenovo,11th Gen Core i3,8,256,Windows,15.6,2
Infinix INBook X1 XL12 Laptop,Infinix,10th Gen Core i7,16,512,Windows,14,4
Asus Vivobook X415EA-EB372WS Laptop,Asus,11th Gen Core i3,8,256,Windows,14.1,2
Asus VivoBook 15 2021 X515JA-EJ362WS Laptop,Asus,10th Gen Core i3,8,512,Windows,15.6,2
HP Pavilion 15-dk2095TX Gaming Laptop,HP,11th Gen Core i5,8,512,Windows,15.6,4
Apple MacBook Pro 16 inch MK1A3HN Laptop,Apple,M1 Max 10-core CPU,32,1000,Mac,16.2,10
Lenovo V15 82C30052IH Laptop,Lenovo,Intel Celeron N4020,4,0,DOS,15.6,2
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i3,8,256,Windows,15.6,2
HP Pavilion 15-ec2008AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,Windows,15.6,6
Asus VivoBook 15 X515EA-BQ312TS Laptop,Asus,11th Gen Core i3,8,256,Windows,15.6,2
Xiaomi Mi Notebook Ultra Laptop,Xiaomi,11th Gen Core i5,16,512,Windows,15.6,4
MSI Bravo 15 B5DD-043IN Gaming Laptop,MSI,Ryzen 5 5600H,8,512,Windows,15.6,6
Lenovo IdeaPad 3 15ITL6 82H800U5IN Laptop,Lenovo,11th Gen Core i3,8,512,Windows,15.6,2
Xiaomi RedmiBook e-Learning Edition,Xiaomi,11th Gen Core i3,8,256,Windows,15.6,2
Realme Book Slim Laptop,Realme,11th Gen Core i3,8,256,Windows,14,2
Lenovo IdeaPad 3 15ITL6 82H8014BIN Laptop,Lenovo,11th Gen Core i5,8,512,Windows,15.6,4
Acer Extensa EX215-31 Laptop,Acer,Intel Pentium N5030,4,0,Windows,15.6,4
Asus ROG Flow X13 GV301QH-K5462TS Gaming Laptop,Asus,AMD Ryzen 9,16,1000,Windows,13.4,8
Lenovo Yoga 9i 82BG005JIN Laptop,Lenovo,11th Gen Core i7,16,1000,Windows,14,4
Dell Inspiron 3501 Laptop,Dell,11th Gen Core i5,8,256,Windows,15.6,4
Apple MacBook Air 2020 MGN73HN Laptop,Apple,Apple M1,8,512,Mac,13.3,8
Dell Inspiron 3593 Laptop,Dell,10th Gen Core i3,4,0,Windows,15.6,2
Microsoft Surface Laptop 3 1873,Microsoft,V4G-00021) Laptop ,8,128,Windows,15,4
HP EliteBook 840 G6,HP,7YY01PA) Laptop ,8,512,Windows,14,4
Dell Latitude 5320 2-in-1 Laptop,Dell,11th Gen Core i5,16,256,Windows,13.3,4
Lenovo V15 ITL 82KBA03JIH Laptop,Lenovo,11th Gen Core i3,8,512,Windows,15.6,2
Asus VivoBook 15 X1500EA-EJ3381WS Laptop,Asus,11th Gen Core i3,8,512,Windows,15.6,2
HP Envy x360 15-ew0037TU Laptop,HP,12th Gen Core i5,16,512,Windows,15.6,10
HP 15s-eq2213AU Laptop,HP,AMD Ryzen 3 5300U,8,512,Windows,15.6,4
Asus Vivobook Pro 16X OLED N7601ZM-MQ711WS Gaming Laptop,Asus,12th Gen Core i7,16,1000,Windows,16,10
HP Victus 16-d0310TX Gaming Laptop,HP,11th Gen Core i5,8,512,Windows,16.1,6
HP Victus 15-fb0777AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,Windows,15.6,6
HP Victus 16-d0311TX Gaming Laptop,HP,11th Gen Core i5,16,512,Windows,16.1,6
Dell G15-5520 D560897WIN9S Laptop,Dell,12th Gen Core i9,16,1000,Windows,15.6,14
HP Victus 16-e0333TX Gaming Laptop,HP,AMD Ryzen 5 5600H,16,512,Windows,16.1,6
Lenovo Legion 5 Pro 82RG00ELIN Laptop,Lenovo,AMD Ryzen 7 6800H,16,1000,Windows,16,8
MSI Katana GF66 12UD Gaming Laptop,MSI,12th Gen Core i7,16,512,Windows,15.6,14
MSI Pulse GL66 12UGSZOK Gaming Laptop,MSI,12th Gen Core i9,16,1000,Windows,15.6,14
HP Pavilion 15-eg2091TU Laptop,HP,12th Gen Core i5,16,512,Windows,15.6,12
HP Envy x360 15-ew0043TU 2-in-1 Laptop,HP,12th Gen Core i5,16,512,Windows,15.6,10
HP Envy x360 15-ew0047TU 2-in-1 Laptop,HP,12th Gen Core i7,16,512,Windows,15.6,10
HP ProBook 445 G8 Laptop,HP,AMD Ryzen 7 5800U,16,512,Windows,14,8
Apple MacBook Pro 16 inch Laptop,Apple,M2 Pro 12-core CPU,16,1000,Mac,16.2,12
Apple MacBook Pro 16 inch Laptop,Apple,M2 Pro 12-core CPU,16,512,Mac,16.2,12
Apple MacBook Pro 14 inch Laptop,Apple,M2 Max 12-core CPU,32,1000,Mac,14.2,12
Apple MacBook Pro 14 inch Laptop,Apple,M2 Pro 12-core CPU,16,1000,Mac,14.2,12
Apple MacBook Pro 14 inch Laptop,Apple,M2 Pro 10-core CPU,16,512,Mac,14.2,10
HP Pavilion Plus 14-eh0037TU Laptop,HP,12th Gen Core i5,16,512,Windows,14,12
Apple MacBook Pro 2022 Laptop,Apple,Apple M2,16,256,Mac,13.3,8
Apple MacBook Air M2 2022 Laptop,Apple,Apple M2,16,512,Mac,13.6,8
Apple MacBook Air 2022 Laptop,Apple,Apple M2,16,256,Mac,13.6,8
Samsung Galaxy Book2 NP550XED-KA2IN Laptop,Samsung,12th Gen Core i5,16,512,Windows,15.6,8
Lenovo Legion 7i 82TD009KIN Gaming Laptop,Lenovo,12th Gen Core i9,32,1000,Windows,16,16
Dell Inspiron 3511 D560783WIN9BD Laptop,Dell,11th Gen Core i3,8,512,Windows,15.56,2
Dell Vostro 3425 D552308WIN9B Laptop,Dell,AMD Ryzen 3 5425U,8,256,Windows,14,4
HP 245 G8 ‎6E3Z1PA Laptop,HP,AMD Ryzen 3 3250U,8,512,DOS,14,2
MSI Modern 14 C12M-269IN Laptop,MSI,12th Gen Core i3,8,512,Windows,14,6
Dell Inspiron 5420 ICC-C782537WIN8 Laptop,Dell,12th Gen Core i5,16,512,Windows,14,12
HP 15s-du3612TU Laptop,HP,11th Gen Core i3,8,256,Windows,15.6,2
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i5,16,512,Windows,15.6,4
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i5,8,512,Windows,15.6,10
Dell Vostro 3420 Laptop,Dell,12th Gen Core i5,16,512,Windows,14,10
Dell Inspiron 3520 2022 Laptop,Dell,12th Gen Core i5,8,256,Windows,15.6,10
HP Envy x360 15-ew0040TU Laptop,HP,12th Gen Core i5,16,512,Windows,15.6,10
HP Envy x360 15-ew0048TU Laptop,HP,12th Gen Core i7,16,1000,Windows,15.6,10
HP Envy x360 15-ew0043TU Laptop,HP,12th Gen Core i5,16,512,Windows,15.6,10
Dell G15-5520 Gaming Laptop,Dell,12th Gen Core i5,8,512,Windows,15.6,12
HP Pavilion 14-ec1005AU Laptop,HP,Ryzen 5 5625U,16,512,Windows,14,6
HP Pavilion 14-ec1005AU Laptop,HP,12th Gen Core i5,16,512,Windows,15.6,12
HP Envy x360 13-bf0121TU  Laptop,HP,12th Gen Core i5,16,512,Windows,13.4,10
HP Envy x360 13-ay1064AU 2-in-1 Laptop,HP,Ryzen 7 5800U,16,512,Windows,13.3,8
Dell Vostro 3520 Laptop,Dell,12th Gen Core i5,8,512,Windows,15.6,10
Asus ROG Zephyrus G15 GA503RMZ-LN155WS Gaming Laptop,Asus,AMD Ryzen 7 6800HS,16,1000,Windows,15.6,8
Dell Vostro 3420 Laptop,Dell,12th Gen Core i5,8,512,Windows,14,10
Dell Vostro 3525 Laptop,Dell,AMD R5-5625U,16,512,Windows,15.6,6
Dell Vostro 3525 Laptop,Dell,AMD Ryzen 5-5625U,8,512,Windows,15.6,6
Dell Vostro 3420 Laptop,Dell,12th Gen Core i3,8,512,Windows,14,6
Asus ROG Zephyrus G15 GA503RSZ-HQ061WS Gaming Laptop,Asus,AMD Ryzen 9 6900HS,16,1000,Windows,15.6,8
MSI Modern 15 B12M Laptop,MSI,12th Gen Core i7,16,512,Windows,15.6,10
MSI Modern 15 B12M Laptop,MSI,12th Gen Core i5,16,512,Windows,15.6,10
MSI Modern 14 C12M Laptop,MSI,12th Gen Core i5,8,512,Windows,14,10
Asus Vivobook 15 X1502ZA-EJ381WS Laptop,Asus,12th Gen Core i3,8,512,Windows,15.6,10
HP 240 G8 Business Laptop,HP,11th Gen Core i5,8,512,Windows,14,4
HP Victus 15-fa0031dx Gaming Laptop,HP,12th Gen Core i5,8,512,Windows,15.6,8
Lenovo Thinkpad P15v 21AAS05L00 Laptop,Lenovo,11th Gen Core i7,16,1000,Windows,15.6,8
Acer Aspire 5 A515-57 2022 Laptop,Acer,12th Gen Core i5,16,512,Windows,15.6,10
HP Pavilion x360 14-ek0137TU Laptop,HP,12th Gen Core i3,8,512,Windows,14,6
Dell Vostro 3510 ICC-D585046WIN8 Laptop,Dell,Intel Pentium Gold 7505,8,256,Windows,15.6,2
HP 240 G8 4K5D5PA Business Laptop,HP,11th Gen Core i3,8,512,DOS,14,2
Lenovo E41-55 82FJ00B5IH Laptop,Lenovo,Athlon 3050U,4,0,DOS,14,2
Lenovo E41-55 82FJ00B5IH Laptop,Lenovo,Athlon 3050U,4,256,DOS,14,2
MSI Katana GF66 12UC-632IN Gaming Laptop,MSI,12th Gen Core i7,8,512,Windows,15.6,14
Lenovo IdeaPad Flex 5 14ALC7 82R9006PIN Laptop,Lenovo,AMD Ryzen 5 5500U,16,512,Windows,14,6
Lenovo V14 Gen 2 ‎82C40019IX Laptop,Lenovo,11th Gen Core i5,8,512,Windows,14,4
Asus ROG Strix G15 G513IE-HN088WS Gaming Laptop,Asus,Ryzen 7 4800H,8,512,Windows,15.6,8
Asus Vivobook 14 OLED UX3402ZA-KN531WS Laptop,Asus,12th Gen Core i5,16,512,Windows,14,12
Lenovo IdeaPad Slim 3 82RJ0040IN Laptop,Lenovo,12th Gen Core i3,8,512,Windows,14,6
Ultimus S151 NU14U2INC43VN-CS Laptop,Ultimus,Celeron N4020,4,128,Windows,14.1,2
HP Pavilion 14-dv2014TU Laptop,HP,12th Gen Core i5,16,512,Windows,14,10
Ultimus S151 NU14U2INC43VD-CS Laptop,Ultimus,Celeron N4020,4,128,DOS,14.1,2
Ultimus S152 NU15U2INC44VN-SG Laptop,Ultimus,Celeron N4020,4,256,Windows,15.6,2
Lenovo Legion S7 82TF007LIN Gaming Laptop,Lenovo,12th Gen Core i7,16,1000,Windows,16,14
Acer Aspire 5 A515-57 NX.K2VSI.002 Laptop,Acer,12th Gen Core i3,8,512,Windows,15.6,6
MSI Stealth GS66 12UGS-290IN Gaming Laptop,MSI,12th Gen Core i7,32,1000,Windows,15.6,14
HP Envy x360 13-AY1065AU Laptop,HP,AMD Ryzen 5-5600U,8,512,Windows,13.3,6
Dell Latitude 14 7420 Laptop,Dell,11th Gen Core i5,16,512,Windows,14,4
Acer Aspire 5 A515-57 Laptop,Acer,12th Gen Core i5,8,512,Windows,15.6,10
Lenovo IdeaPad Slim 3 82H802XXIN Laptop,Lenovo,11th Gen Core i5,16,512,Windows,15.6,4
Gigabyte G5 KE RC55KE Laptop,Gigabyte,12th Gen Core i5,16,512,Windows,15.6,12
Gigabyte G5 ME RC55ME Laptop,Gigabyte,12th Gen Core i5,16,512,Windows,15.6,12
Gigabyte G5 GE RC55GE Laptop,Gigabyte,12th Gen Core i5,8,512,Windows,15.6,12
Dell Inspiron 7420 D560918WIN9S Laptop,Dell,12th Gen Core i5,8,512,Windows,14,10
Lenovo ThinkPad X13 21BNS03K00 Laptop,Lenovo,12th Gen Core i7,16,512,Windows,13.3,12
Acer Nitro 5 AN515-45 UN.QCLSI.005 Gaming Laptop,Acer,AMD Ryzen 5 5600H,16,512,Windows,15.6,6
Acer Nitro 5 AN515-45 UN.QCLSI.006 Gaming Laptop,Acer,AMD Ryzen 5 5600H,8,512,Windows,15.6,6
Acer Nitro 5 AN515-45 UN.QBMSI.009 Gaming Laptop,Acer,AMD Ryzen 5 5600H,16,512,Windows,15.6,6
HP Envy x360 13-bf0085TU Laptop,HP,12th Gen Core i5,8,512,Windows,13.3,10
HP 240 G8 Business Laptop,HP,11th Gen Core i3,8,512,Windows,14,2
Lenovo Ideapad Slim 3 81WD014XIN Laptop,Lenovo,10th Gen Core i3,4,256,Windows,15.6,2
Lenovo ThinkPad T14 20W0S1HU00 Laptop,Lenovo,11th Gen Core i7,16,512,Windows,14,4
HP Pavilion 14-ek0084TU Laptop,HP,12th Gen Core i5,8,512,Windows,14,10
Asus Eeebook 14 E410KA-BV092W Laptop,Asus,Celeron N4500,4,256,Windows,14,2
HP 240 G8 689T7PA Business Laptop,HP,intel Core i3,8,512,Windows,14,0
Lenovo ThinkPad E14 G3 20Y700B5IG Laptop,Lenovo,Ryzen 7 5700U,16,512,Windows,14,8
Lenovo V14 82KAA057IH Laptop,Lenovo,11th Gen Core i3,8,256,Windows,14,2
Lenovo IdeaPad Slim 3 82H802XVIN Laptop,Lenovo,11th Gen Core i3,8,256,Windows,15.6,2
Acer Chromebook Enterprise Spin 513 R841LT-S6DJ Laptop,Acer,Snapdragon 7c,4,0,Chrome,13.3,8
Lenovo ThinkPad E14 Gen 2 20TAS08F00 Laptop,Lenovo,11th Gen Core i5,8,512,Windows,14.1,4
Dell Inspiron 3520 D560878WIN9S Laptop,Dell,12th Gen Core i5,8,512,Windows,15.6,10
Asus Vivobook 14 OLED UX3402ZA-KN731WS Laptop,Asus,12th Gen Core i7,16,512,Windows,14,12
Lenovo Ideapad Slim 3 81WB01FYIN Laptop,Lenovo,10th Gen Core i3,8,256,Windows,15.6,2
Dell Inspiron 3525 D560863WIN9B Laptop,Dell,AMD Ryzen 5 5625U,8,512,Windows,15.6,6
Lenovo Thinkpad E14 Gen 2 20TAS0Y800 Laptop,Lenovo,11th Gen Core i5,8,512,DOS,14.1,4
Asus TUF Gaming F15 FX506LHB-HN358W Gaming Laptop,Asus,10th Gen Core i5,8,512,Windows,15.6,4
MSI Stealth 17M A12UE Gaming Laptop,MSI,12th Gen Core i7,16,1000,Windows,17.3,14
MSI Modern 15 A5M-055IN Laptop,MSI,Ryzen 5 5500U,8,512,Windows,15.6,6
Lenovo Thinkpad E14 Gen 2 20TAS0E800 Laptop,Lenovo,11th Gen Core i5,16,512,Windows,14,4
Dell Vostro 3420 D552278WIN9S Laptop,Dell,11th Gen Core i3,8,512,Windows,14,2
Lenovo ‎ThinkPad E14 Gen 4 Laptop,Lenovo,12th Gen Core i5,8,512,Windows,14,10
Dell Alienware X17 R1 D569936WIN9 Gaming Laptop,Dell,11th Gen Core i9,32,1000,Windows,17.3,8
Lenovo V15 82KBA02UIH Laptop,Lenovo,11th Gen Core i3,8,256,Windows,15.6,2
Lenovo Thinkpad P15v 21D8S00V00 Laptop,Lenovo,12th Gen Core i7,32,1000,Windows,15.6,14
Microsoft Surface Laptop 5 ‎RBG-00048 13.5 inch,Microsoft,12th Gen Core i7,8,256,Windows,13.5,10
Microsoft Surface Pro 9 ‎QIL-00031 Laptop,Microsoft,12th Gen Core i7,16,256,Windows,13,10
Microsoft Surface Pro 9 ‎‎QIX-00031 Laptop,Microsoft,12th Gen Core i7,16,512,Windows,13,10
Microsoft Surface Laptop 5 ‎RIP-00048 15 inch,Microsoft,12th Gen Core i7,16,512,Windows,15,10
Dell Inspiron 14 5415 Laptop,Dell,Ryzen 5 5500U,8,512,Windows,14,6
Lenovo Legion 5 Pro 82RF00E1IN Gaming Laptop,Lenovo,12th Gen Core i7,32,1000,Windows,16,14
Lenovo Ideapad Slim 3 81WE01QSIN Laptop,Lenovo,10th Gen Core i3,4,256,Windows,15.6,2
Acer Aspire 3 A315-58 Laptop,Acer,11th Gen Core i5,12,512,Windows,15.6,4
Asus E410 Eeebook E410KA-BV003W Laptop,Asus,Celeron N4500,4,256,Windows,14,2
Asus Vivobook 15 2022 X1502ZA-EJ515WS Laptop,Asus,12th Gen Core i5,8,512,Windows,15.6,10
Lenovo Thinkbook 14 20VD011EIH Laptop,Lenovo,11th Gen Core i7,16,512,Windows,14,4
Acer Swift 3 SF314-43 Laptop,Acer,Ryzen 5 5500U,8,512,Windows,14,6
Lenovo V15 G2-ITL 82KBA034IH Laptop,Lenovo,11th Gen Core i3,8,512,DOS,15.6,2
Dell XPS 9315 Laptop,Dell,12th Gen Core i7 ,16,1000,Windows,13.4,10
Dell Inspiron 5415 Laptop,Dell,Ryzen 7 5700U,16,512,Windows,14,8
HP Victus 16-e0550AX Gaming Laptop,HP,AMD Ryzen 7 5800H,8,512,Windows,16,8
Asus VivoBook 14 X415MA-BV102WS Laptop,Asus,Pentium Silver N5030,8,256,Windows,14.1,4
Asus VivoBook 15 2022 X515JA-EJ592WS Laptop,Asus,10th Gen Core i5,8,512,Windows,15.6,4
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i5,8,512,Windows,15.6,10
Dell G15-5520 D560895WIN9S Laptop,Dell,12th Gen Core i7,16,512,Windows,15.6,10
Acer One 14 Z2-493 UN.431SI.129 Laptop,Acer,AMD Ryzen 3 3250U,8,0,Windows,14,2
HP 15s-fq2670TU Laptop,HP,11th Gen Core i3,8,256,Windows,15.6,2
Asus VivoBook 15 X515JA-EJ392WS Laptop,Asus,10th Gen Core i3,8,512,Windows,15.6,2
Lenovo IdeaPad Slim 3 82RK007JIN Laptop,Lenovo,12th Gen Core i3,8,512,Windows,15.6,6
Acer Chromebook 311 C733 Laptop,Acer,Intel Celeron N4020,4,0,Chrome,11.6,2
Dell Latitude 7420 Laptop,Dell,11th Gen Core i7,16,512,Windows,14,4
HP ProBook 445 G7 Laptop,HP,AMD Ryzen 5 4500U,8,512,Windows,14,6
Lenovo V15 82C3002VGE Laptop,Lenovo,Celeron N4020,4,256,Windows,15.6,2
Dell Vostro 3425 D552267WIN9S Laptop,Dell,AMD Ryzen 5 5625U,16,512,Windows,14,6
Dell G15-5525 Gaming Laptop,Dell,Ryzen 9-6900HX,16,1000,Windows,15.6,8
Dell G15-5525 D560894WIN9S Gaming Laptop,Dell,Ryzen 7 6800H,16,512,Windows,15.6,8
Dell G15-5525 D560898WIN9S Gaming Laptop,Dell,Ryzen 7 6800H,16,1000,Windows,15.6,8
Dell G15-5521 D560899WIN9S Gaming Laptop,Dell,12th Gen Core i9,16,1000,Windows,15.6,14
Dell Inspiron 7620 Laptop,Dell,12th Gen Core i7,16,512,Windows,14.5,12
Acer Aspire 5 A515-57 Gaming Laptop,Acer,12th Gen Core i3,8,512,Windows,15.6,6
Acer Aspire 3 A315-58 NX.ADDSI.011 Laptop,Acer,11th Gen Core i3,8,512,Windows,15.6,2
Lenovo IdeaPad Slim 5 82SE005SIN Laptop,Lenovo,AMD Ryzen 5 5625U,16,512,Windows,15.6,6
Asus TUF Gaming A15 FA506IHRZ-HN112W Laptop,Asus,AMD Ryzen 5 4600H,8,1000,Windows,15.6,6
Asus Vivobook 14 OLED X1405ZA-KM511WS Laptop,Asus,12th Gen Core i5,16,512,Windows,14,10
Lenovo ThinkPad X1 Carbon 21CB002JIG Laptop,Lenovo,12th Gen Core i7,16,1000,Windows,14,10
Asus Vivobook 14 OLED X1405ZA-KM311WS Laptop,Asus,12th Gen Core i3,8,512,Windows,14,6
Dell Alienware M15 R6 Gaming Laptop,Dell,11th Gen Core i7,16,512,Windows,15.6,8
Lenovo IdeaPad Gaming 3 82K101E1IN Laptop,Lenovo,11th Gen Core i5,8,256,Windows,15.6,4
Asus Vivobook 15 OLED X1505ZA-L1311WS Laptop,Asus,12th Gen Core i3,8,512,Windows,15.6,6
Asus ROG Strix G17 2022 G713RS-LL023WS Gaming Laptop,Asus,AMD Ryzen 9 6900HX,16,1000,Windows,17.3,8
Lenovo V15 82C500XHIH Laptop,Lenovo,10th Gen Core i5,8,512,Windows,15.6,4
