Content,handle
"We lock up toothpaste, instead of criminals.

You can thank the architect, Cuomo, and the apprentice, Mamdani.",Curtis Sliwa
"Eric Adams has no problem blowing $7 billion on migrants, millions more on lawyers to fight deportation, and pouring taxpayer money into endless grift. 

But when it comes to hardworking taxpayers, he forces garbage bins on you without your input and then makes YOU pay for them.Adams trashes $14M plan passed by ‘irresponsible’ council to provide free garbage bins to NYC homeowners https://
trib.al/m6kyAja",Curtis Sliwa
"Remember, while I am a lifelong Democrat just like my father Mario Cuomo before me, this year I am running on the Fight & Deliver independent ballot line. 

Please make sure that you, your friends, and your family look for me there. 

Together, we will build a new New York City,",Andrew Cuomo
"You are a truly despicable, disgusting and desperate person. This was a Memorial, not a campaign event, where ALL candidates were invited to honor the 15,000 elderly your executive order murdered. You have blood on your hands, you never apologized and now you’re mocking their",Curtis Sliwa
"Closing out the final day of the San Gennaro Festival in Little Italy with my son Anthony! For nearly a century this celebration has brought New Yorkers together with history, food, family, and friends. Grateful to meet so many people and keep this great NYC tradition alive 🇮🇹",Curtis Sliwa
"Five years ago today, Andrew Cuomo released a self congratulatory book. 

Taxpayers helped foot the bill and he was later ordered to repay the proceeds. 

He left office with ethics scandals, a damaged economy, and policies that made New York less safe. From cashless bail, Raise",Curtis Sliwa
"Last Friday was International Cat Day! Everyday in the Sliwa household we celebrate our rescue cats. Nancy and I have rescued countless abused or neglected cats, dogs and animals over the years, and then adopt them to loving families. 

As Mayor, I will put violent animal abusers",Curtis Sliwa
Join ‘em.,Zohran Mamdani
,Zohran Mamdani
"Last week, Seniors for Zohran"" organized a rally at City Hall.",Zohran Mamdani
"This Sunday, we’re SHREDDING 🎸

Join me (or someone who looks a lot like me) at one of two locations to safely dispose of old bills, bank statements and documents you no longer need. 

+ DJs, family portraits and frozen treats.

12-3pm in Harlem and the Bx. Details in the vid ⬇️",Zohran Mamdani
"GET OUT AND VOTE! 🗳️ 

It’s the greatest privilege we have to vote—don’t take it lightly. 

Use your power, use your voice, and VOTE today! 

Polls close at 9 PM EST. Visit  to find your nearest site.

#VoteforCuomo",Andrew Cuomo
Polls close at 9pm. ,Zohran Mamdani
"Cuomo’s desperate final act is bankrolled by the very billionaires who brought us Donald Trump and the broken status quo.

New Yorkers are ready for change.",Zohran Mamdani
Who’s down though? Not me…,Curtis Sliwa
"Franz Sigel Park, what could be a beautiful Bronx gem, named for Civil War hero Franz Sigel, has been left to rot. Garbage, neglect, decay— what’s the city doing about this?

Our parks deserve better, the Bronx deserves better and YOU deserve better.

Read my plan to enhance New",Curtis Sliwa
"Andrew Cuomo: taxpayers should pay for $60 million in legal bills for my sexual harassment allegations 

Also Andrew Cuomo: $60 million is too much money to spend on a pilot program to deliver cheaper groceries",Zohran Mamdani
"Well, well, well….Breaking: @CurtisSliwa in 2022 starred in an ad unequivocally stating @andrewcuomo didn’t mandate nursing homes to take COVID patients. Listen to it here: https://
facebook.com/share/v/17MFeX
iBYr/?mibextid=wwXIfr
…",Andrew Cuomo
,Curtis Sliwa
"Today I stopped by the Coney Island Stillwell Ave station to lay a wreath for Debrina Kawam, to honor her and the life she lived before she was brutally murdered and set on fire by a madman. New Yorkers are sick and tired of government having no answers to tragedies like this.",Curtis Sliwa
"In the country's richest city, more than 140,000 kids don't have stable or permanent housing.

Every Child and Family Is Known"" — a small pilot program that pairs school staff with students and families in shelters — has shown real promise. I will double its funding and scope.""",Zohran Mamdani
". owes NYC answers — a lot of themRed alert: Mamdani expected to follow will of radical-left DSA if elected, group’s leaders boast at meeting attended by Post https://
trib.al/4UqtrjJ",Andrew Cuomo
"After a great day of hitting all 5 boroughs, Michaela and I made a quick stop to thank supporters before heading back on the trail 

Tomorrow we make history - polls open at 6am, NYC - VOTE!",Andrew Cuomo
"New York City, I can see a future with you. And it’s one we can afford.

Our new ad just aired during The Golden Bachelor.",Zohran Mamdani
"Today at the  Mayoral Forum, I called for ending the City’s $16 billion, behind-schedule borough jail boondoggle

Rikers in its current form must be closed - but the borough jails plan was flawed from the start. It hurts neighborhoods, drains billions, and still",Andrew Cuomo
"A few more pictures from yesterday’s absurdly cute press conference.Next year, we'll welcome 125,000 new New Yorkers to our city. But many families don't have what they need to give their babies a healthy start.

Building on @BKBPReynoso's pilot, we'll launch citywide Baby Baskets, providing new parents with essential items and resources.",Zohran Mamdani
"I want extend my condolences to the family of Rabbi Alvin Kass, the longest-serving chaplain in the NYPD. For decades, Rabbi Kass provided guidance, and protection to New Yorkers, standing by them through the city’s toughest moments.

His dedication and faith touched countless",Curtis Sliwa
"NYC faces gun violence despite “strict” gun laws. We saw a horrifying example of this last night in Times Square.

I’ll reinstate the NYPD’s Anti-Crime unit and crack down on gangs and gun traffickers.

Zohran Mamdani has called for defunding the NYPD and DELETING the gang",Curtis Sliwa
Thank you Rockaways! Make your plan to vote!!  🗳️,Curtis Sliwa
"Another cop shot, this time by a career criminal who never should have been on our streets. Our officers put on the uniform and vest to protect us, but government refuses to protect them.

Mamdani wants to weaken law enforcement and push pro criminal policies to finish the job“A parolee with nearly two dozen arrests – including one just a day ago for fare evasion – shot and wounded an NYPD detective on a Queens expressway during the Friday morning rush…” 

Simple question: Which of the mayoral candidates pledge to keep thugs like this behind bars?",Curtis Sliwa
"The People’s Mayor is going nowhere!

We’re in it to win it. Let’s go!",Curtis Sliwa
"Cuomo has no chance of winning. It’s arrogant to assume our supporters would somehow vote for Cuomo, someone who IS hated for his disastrous polices that victimized New Yorkers. The polls had Cuomo winning by far until the day before the primary. He lost, and he is buried on the",Curtis Sliwa
"My statement on the two year anniversary of October 7, 2023.",Zohran Mamdani
Great to catch up with . Watch our conversation tonight at 8pm on .,Zohran Mamdani
"Every day, Donald Trump issues a new threat against an American city — very often his own hometown. 

But we can stand up to his bullying and win. As Mayor, I'll work every single day with our state and federal partners to protect New York City.",Zohran Mamdani
"The words of Andrew Cuomo: “I have to say to the Orthodox community tomorrow, if you’re not willing to live with these rules, then I’m going to close the synagogues.”

That’s who he is. When people don’t agree with him, he threatens them. He threatens their faith, their beliefs,",Curtis Sliwa
"Out at today’s Dominican Day Parade with a vibrant community that has always had my back. 

From Washington Heights and Inwood to Corona, the Dominican community embodies hard work, family and pride in our city, and I’ll always have your back too.",Curtis Sliwa
"On Monday morning,  and I took a stroll down Steinway St in Astoria — a bustling corridor of shops, cafes and restaurants that was once home to my first Assembly campaign office.

Here's part of our conversation.",Zohran Mamdani
"Each NYC Baby Basket will also include a resource guide of information on the City’s newborn home visiting program, breastfeeding, post-partum depression and more.",Zohran Mamdani
Midday canvass launch at A. Philip Randolph Square with  and .,Zohran Mamdani
"I joined the community at Young Israel of Kew Garden Hills to listen and talk about the issues that matter most, safety on our streets, affordability for families, and protecting our neighborhoods. 

I am running to be the People’s Mayor, a mayor for every neighborhood, every",Curtis Sliwa
"We relaunched our canvassing operation a month ago— and our volunteers already surpassed 235k doors knocked, including 39,700 this past weekend. 

There's a hunger in our city for a new kind of politics and it's motivating people to participate at a scale they never have before.",Zohran Mamdani
"You’re obsessed… you’re standing with a former governor who resigned in disgrace, couldn’t beat an unknown socialist assemblyman in a primary, 70% of Dems did not rank him on their ballot… and yet, you think Cuomo’s the savior…? What?  How much are they paying you…? There is",Curtis Sliwa
"All in. All boroughs. All New Yorkers. 

25 days to go. The people will decide. 

",Curtis Sliwa
"Great day of canvassing for Team Cuomo! 

Find an event and join the team here: 

",Andrew Cuomo
"It was a privilege to join Staten Island leaders today to talk about unity, economic opportunity, and making sure no borough is left behind. 

I’m especially grateful to Father Hank Tuell, Hon. Debi Rose, and Gerald “GeeBee” Barclay for bringing us together on this beautiful",Zohran Mamdani
" Thanks for speaking truth. Turn out determines this election. We have every resource possible to make an unprecedented turn out happen. The polls are BS, our supporters won’t vote for Cuomo, who brought us No Cash Bail, HALT act, said Defund the police, an order that",Curtis Sliwa
"“People across this, across this country, across the world are fed up with a model of ticket pricing that views fans as a commodity that can be priced higher and higher and higher.”Good morning from St. James Park where we’re calling on @FIFAWorldCup to put game over greed. 

The people of the Bronx and all New Yorkers deserve a shot at watching the world’s game happening in their backyard.",Zohran Mamdani
"Awful and dangerous to hear the Mayor echo the transphobic bigotry coming from the Trump administration. It's completely at odds with the values of our city and another reason why his single, disgraced term in office cannot end soon enough.",Zohran Mamdani
"Watch the full interview: 

And sign the petition:",Zohran Mamdani
Join this Big Fall Canvass this upcoming weekend.,Zohran Mamdani
Thank you to the Vella family for sharing this awesome video! We’re in it to win it! That’s why you MUST make your plan to vote EARLY this weekend. Find your pollsite: ,Curtis Sliwa
,Curtis Sliwa
And thanks for the like!,Curtis Sliwa
https://pbs.twimg.com/media/G35yo8fWQAA8fO6?format=jpg&name=small,Curtis Sliwa
"Overnight, Trump and Republicans in Congress shut down the federal government.

They shut it down because they’re determined to strip healthcare from millions of Americans, to enrich the billionaires they serve, to continue the assault on our rights.

We must fight back.",Zohran Mamdani
It would be funnier if he didn’t screw up the city,Curtis Sliwa
"Because of YOU, we will defeat Zohran Mamdani and build a safe, strong, and affordable New York on November 4th!

Let’s go New York!

👉 ",Curtis Sliwa
"Wonderful meeting with the residents of North Shore Towers in Queens, the heart of what makes this city so special.

Thank you to Sophia Mighty for the kind introduction and for your dedicated work on behalf of the community. Your leadership and commitment to keeping this",Andrew Cuomo
"🚨 The next deadline is just days away. This is our moment to show that everyday New Yorkers, not the elides, can power real change. Every day matters. The time is NOW.👉 Rush your donation: Cash on hand:

Mamdani: $5,062,663
Cuomo: $1,382,505
Sliwa: $2,272,246

Next public funds payment scheduled 10/9. Another chance on 10/30.",Curtis Sliwa
"I almost lost my life fighting against the evil people who hurt this city. When I was shot in 1992, everything changed. I learned how fragile life is and how strong the human spirit can be. I survived because I refused to give up.

If someone can be shot for speaking the truth,",Curtis Sliwa
Powerful words by Rabbi  of  #SayNoToZo #VoteforCuomo,Andrew Cuomo
"You don’t have to take my word for it but when 650+ rabbis are speaking up about their fears… there’s something to say about that.

#VoteforCuomo #SayNoToZo",Andrew Cuomo
"New Yorkers are tired of the failed status quo, and they’re not buying Mamdani’s fantasy land. 

They want a mayor who knows the issues and delivers real, common sense solutions. 

That’s why I’m running, and why I’ll win on November 4th.",Curtis Sliwa
Our first ad of the general election starts airing tomorrow: “Things Can Change.”,Zohran Mamdani
🤣,Curtis Sliwa
Hell’s Kitchen,Zohran Mamdani
Tune into  Money Movers tomorrow as I discuss my plans to revive NYC’s economy in every borough.,Curtis Sliwa
Watch until the end…. What more proof do we need that  doesn’t say what he really thinks?,Andrew Cuomo
"Always a good day when I can stand with The People's Lawyer.The @bronxdems are all in for @ZohranKMamdani! 

Great to join New Yorkers in the Bronx this morning to support electing the next leader of our great city.",Zohran Mamdani
Can read my full 100 day agenda here!,Curtis Sliwa
"The Advantage program was a lifeline for New Yorkers like Kasha, a working mom struggling to get out of a shelter and into stable housing.

But when then-Gov. Cuomo slashed funding, homelessness surged. 

These are political choices. We can choose differently.",Zohran Mamdani
Sign up here.,Zohran Mamdani
"I met today with the United Bodegas of America to lay out my plan to lower grocery costs for the New Yorkers who need it most.

✅ $250M in targeted grocery subsidies for 350,000 working families who earn just above the SNAP threshold.
✅ Protect bodegas and small groceries — the",Andrew Cuomo
"The weather might be dreary but it was warm and welcoming at the Fort Greene Council Senior Center today, where I was joined by ,  and .",Zohran Mamdani
"Another great weekend for Team Cuomo - grab your family and friends and join us: 

",Andrew Cuomo
"The Wizard of Zohran waves a wand and spits out fantasy savings that don’t exist, and New Yorkers are too smart for parlor tricks and want real plans, not gimmicks.Mamdani rolls out new ‘savings calculator’ that rivals blast over ‘fantasy’ math https://
trib.al/wmiTuEc",Curtis Sliwa
"Damn… that looks great…My sandwich sources have shared the @CurtisSliwa panini which he’s making at Mario’s Meats in Middle Village today  

(Featuring a Meet Your Mayor graphic @THECITYNY )",Curtis Sliwa
My statement on ’s decision not to seek re-election next year.,Zohran Mamdani
"I’m running for Mayor to protect EVERY New Yorker, to pave a path of unity in a time when too many are trying to divide us.

Read more here:

",Andrew Cuomo
"The working men and women of Staten Island are the backbone of New York City 🗽

I thank Local 3 IBEW Staten Island Chapter and Joe Santigate for their endorsement and support. 

Together united we can change Staten Island and NYC for the better — and we will",Andrew Cuomo
"Last weekend, I was thrilled to spend an evening with Nobel Prize-winning economist Joseph Stiglitz, Anya Schiffrin and a group of brilliant policy minds they gathered to discuss a range of issues facing our city.",Zohran Mamdani
Add your name ⬇️⬇️⬇️,Zohran Mamdani
"Honored to earn the endorsement of the Sephardic Community Federation - a pillar of faith, family, and service in New York. 

Our city’s strength is its diversity, & I’ll always stand with and fight for the communities that make it thrive.",Andrew Cuomo
"Today I was proud to join Staten Islanders at the Richmond County Fair, celebrating 41 years of community and tradition. While my opponents brag about spending the least amount of time here, I find that attitude dangerous and dismissive. Staten Island matters. Your needs, your",Curtis Sliwa
"Thank you Coney Island!  and I went to Coney Island after the West Indian Day Parade! Coney Island should be clean, safe, and fun for families today and for future generations. Let’s make the city work the way it’s supposed to. Read my plans: ",Curtis Sliwa
,Curtis Sliwa
"I’m honored by the endorsement of so many Jewish leaders across the city. Together we will fight for the soul of NY: safe, affordable, inclusive, & just. Let’s get to work.

NYC Jewish Leaders Unite Against Zohran Mamdani, Endorse Andrew Cuomo for Mayor",Andrew Cuomo
Gathering strength.  x.com/zohrankmamdani…,Zohran Mamdani
"Meet tonight’s MC, .",Zohran Mamdani
👊Go Curtis @TeamSliwa !! 🗽🇺🇸 x.com/TeamSliwa/stat…,Curtis Sliwa
"In a democracy, the rule of law must be sacred - impartial, objective, and above politics. When the law is weaponized or manipulated to advance political agendas, it erodes public trust and weakens the very foundation of justice. Whether it comes from the right or the left, from",Andrew Cuomo
"Hi Tali, when you run for Mayor, you listen to everyone. This woman and her group were  outside a Mayoral forum yesterday. She approached my team and I passionately, and so I listened. I listen to everyone. If you want to silence these women from speaking to a candidate running",Curtis Sliwa
"“You’ll always be my angel,” she told me. 

That’s what I’ve done for 50 years — and that’s what I’ll do as mayor.",Curtis Sliwa
,Zohran Mamdani
"We're still dealing with the consequences of Andrew Cuomo's experience.""""",Zohran Mamdani
Good morning ☕️,Andrew Cuomo
,Zohran Mamdani
"This is the LAST weekend to vote EARLY! New York is ready for change and we need every single vote. Grab your friends, your family, your neighbors and get to the polls. Vote early this weekend and let’s shake this city awake. It is time.

Find your poll site at",Curtis Sliwa
GOTV rally in Jamaica earlier today.,Zohran Mamdani
Corruption goes courtside.No better way to celebrate winning tonight’s debate than making it to the @nyknicks game in time for the 2nd half,Zohran Mamdani
,Curtis Sliwa
"Honored to have the endorsement of the Roosevelt Democratic Club in Jackson Heights

Let’s do this, NYC!",Andrew Cuomo
"Andrew Cuomo didn't just watch from the sidelines as the homelessness crisis grew. He was in power—and made political choices, time and again, that made it worse.",Zohran Mamdani
You're hearing it more and more.,Zohran Mamdani
"Thank you , , ,  +  for helping launch one of our Bushwick canvasses this afternoon!",Zohran Mamdani
"When NYC was on fire during the 2020 riots, Cuomo blamed the police instead of the rioters. Mamdani called to defund the NYPD and Cuomo agreed. When you vote for Sliwa for Mayor, you vote to support law enforcement, restore order, and protect our city. A vote for Cuomo is a vote",Curtis Sliwa
,Curtis Sliwa
Live from New York…I got roasted by Ramy Youssef.,Zohran Mamdani
"Cuomo is truly despicable, disgusting and desperate. This footage was from the  memorial, not a campaign event, where ALL candidates were invited to honor the 15,000 elderly that died because of Cuomo’s nursing home order. You have blood on your hands Andrew, youI’ve said it before and I’ll say it again:

A vote for Sliwa is a vote for Mamdani. 

And here’s the proof: just this past March, Sliwa was openly supporting Mamdani to be the elected Democratic representative.

…So, is Sliwa staying in this race just to help Mamdani win?

We",Curtis Sliwa
Following!,Curtis Sliwa
"Columbus Day has always been about honoring the courage, sacrifice, and contribution of the Italian-American community to this city and this nation.  

For generations of Italian immigrants who came to New York with nothing but a dream, the statue of Christopher Columbus stood as",Andrew Cuomo
Great to sit down with both  and  today to talk about the final stretch of this mayor's race and how we're going to win a city we can afford.,Zohran Mamdani
The better question is whether working people can exist in the city they built.,Zohran Mamdani
https://pbs.twimg.com/amplify_video_thumb/1965183439868440576/img/az5Ahipp_iKKVHyt.jpg,Zohran Mamdani
"What keeps New Yorkers up at night are not the right-wing fever dreams of Andrew Cuomo.

It's whether or not they can keep living in the city they love.

I'm the only candidate on stage tonight with a vision for the future and a plan to bring down costs.",Zohran Mamdani
"I was the clear winner tonight. Cuomo bombed it. 

He should drop out and let me take on Zohran Mamdani one on one, and I’ll beat him for New Yorkers.",Curtis Sliwa
"Our parks need loving…1% for parks?
Sliwa: 2% you greedy developers!!!!!!
Mamdani: 1% 
Cuomo: 1%",Curtis Sliwa
"What we’re hearing out of Washington is troubling. Any federal policy that chips away at the right to practice one’s faith (including how a person wears their hair, beard, or other expressions of faith) is wrong.

If Hegseth’s speech translates to barring Sikhs, Muslims, Jews, or",Andrew Cuomo
"Great catching up with Coach Rick Pitino tonight before the start of the St. John’s season at Madison Square Garden.

The Johnnies aren’t just a college basketball team, they’re a New York City institution. Generation after generation, they’ve represented the grit, hustle, and",Andrew Cuomo
"Mamdani wants NYC to be the capital of socialism. 

I’ll stop him.

Join the fight: ",Curtis Sliwa
"🛡️🏙️Curtis is the one to SOC  
Need an emoji for Save our City. 
Till then. 
Curtis is the one to 🆘 x.com/EliseStefanik/…",Curtis Sliwa
"Young Professionals: If you love & want to save New York City, come out next Monday 10/27 at 7 PM  for a Young Professionals event. I’ll be there and I’m looking  forward to meeting you all in person",Andrew Cuomo
"Live with ARIatHOME: 
",Zohran Mamdani
"Not only did the City shove the City of Yes down our throats, allowing Chernobyl-like lithium ion battery plants in our neighborhoods, but now they want you to subsidize the corporations building them. 

We are paying for our own demise. 

This is City Hall for special interests,",Curtis Sliwa
,Zohran Mamdani
Thank you for the support — I will not let you down!!! #ReadyOnDayOneThe Belz Hasidic sect in Borough Park endorses Cuomo,Andrew Cuomo
"I am honored to receive the endorsement of ATU Local 726 and the ATU New York State Legislative Conference Board. 

Transit workers are the backbone of this city: they keep NY moving and together, we will deliver a transit future that is reliable & safe.",Andrew Cuomo
"We had a beautiful time celebrating Columbus Day in the Bronx with residents and Councilwoman Kristy Marmorato! Thank you to all who keep this community tradition and celebration of Italian American heritage alive🇺🇸🇮🇹!

 
",Curtis Sliwa
I want nothing to do with you. #WorstMayorinHistoryA moment to agree with @CurtisSliwa: he asks @andrewcuomo if he actually is telling us that all 13 women lied about being harassed. Cuomo is entirely unconcerned about what he did to those women.,Curtis Sliwa
"New York is the greatest City on the globe — and together, we will make it safer, more affordable & prosperous for all",Andrew Cuomo
,Curtis Sliwa
"Vote like your home depends on it- because it DOES! The architect and the apprentice are working together to keep the special interest grift alive at City Hall at your expense. 

I have said it for a long time. Mamdani and Cuomo are one and the same. 

I am the only one running",Curtis Sliwa
"Great meeting this morning with concerned New Yorkers who fear the City is on the wrong path.  I thank everyone who voiced their opinions. As your mayor, I will work to make sure all New Yorkers feel safe walking down the street and in the subways and that we get the mentally ill",Andrew Cuomo
"Another great team for Team Cuomo — Ready on Day 1 💪

Join the team:

",Andrew Cuomo
"2) Reform procurement infrastructure and standards across DOE by:

✅ Creating streamlined organizational structure for procurement support at DOE

✅ Modernizing DOE contract management systems

✅ Mandating fiscal training/certification for all staff working on procurement",Zohran Mamdani
"Good to be out on East Fordham Road in the Bronx, talking directly with the people. 

This campaign is about you, the New Yorkers.",Curtis Sliwa
"This morning Nancy and I attended the funeral mass for Nicola Tanzi in Brooklyn. A man of faith, a husband, a father, taken from us by a violent crime in our subway system. Another innocent life lost senselessly and tragically. No family should have to experience this pain. 

The",Curtis Sliwa
"🤝Last night’s debate proved what my constituents and I already knew: @CurtisSliwa is the best choice to be our next mayor.

Mamdani is a radical communist who will wreck what’s left of this city. Cuomo already did the damage we’ve been trying to fix for years.

We don’t need an",Curtis Sliwa
Team Sliwa and I hit the Atlantic Antic seeing amazing New Yorkers at Brooklyn’s oldest and biggest street festival! 🏙️The 50th anniversary was packed with music food and culture that make this city so special. We had a blast connecting with everyone and I shared my plans for a,Curtis Sliwa
"New York City is not for sale.

Our new ad begins airing tomorrow.",Zohran Mamdani
"Every time the rain comes down, New Yorkers brace for chaos. Streets flood, basements fill, trees fall, power gets knocked out, lives are disrupted. This is not normal and it is not acceptable.

For decades our sewer system has been neglected while storms get stronger. Our trees",Curtis Sliwa
A perfect afternoon in Astoria.,Zohran Mamdani
"A vote for Cuomo is a vote for Mamdani. Cuomo destroyed New York and resigned in disgrace. Repeat offenders victimize New Yorkers everyday because of his laws. We’re not going backwards, let’s move forward. 

Join us: ",Curtis Sliwa
"Cut the bloat, slash excessive bureaucracy, and finally get money into our classrooms. 

👉 NYC DOE projected to spend $42k per student this school year — the most in the country https://
trib.al/5Mbpxcp",Curtis Sliwa
"Let me get a BEC.*

*Bringing Economic Change",Zohran Mamdani
Happy birthday in heaven,Curtis Sliwa
"New York, this is the time to mobilize.
Every vote matters—don’t underestimate the power of YOURS. It can make all the difference in this vital election.

🗳 Early voting starts this Saturday, October 25th.
Find me on the second line of the ballot. Make sure your friends and",Andrew Cuomo
"A 13-year-old child shot in the head in broad daylight, now brain-dead and clinging to life.  Enough is enough.

My heart breaks for the family, friends, and community. No parent should ever have to live this horror. We must demand justice: every lead pursued, every perpetrator",Andrew Cuomo
"Shanah Tovah, New York City. Here's to a sweet and hopeful New Year.",Zohran Mamdani
True story,Curtis Sliwa
"Polls are open until 9pm. Find out where you cast your ballot: 

Then help us mobilize every last voter:",Zohran Mamdani
"Today I walked the picket line with  Local 210 members on strike in the Bronx.

When  picked this fight, it wasn't just with these workers — it's with all of us. Because New York is a union town.",Zohran Mamdani
"I refuse to accept a world where people are punished for seeking safety or silenced for speaking the truth. I refuse a system that values profit over people and power over love."" - """,Zohran Mamdani
"Sidewalk sheds span over 380 miles of scaffolding that would cover more than 7,500 city blocks.

Over a thousand sheds have been up for 3 or more years.",Zohran Mamdani
Yea ok…,Curtis Sliwa
🚨Vote “Sliwa” on the Republican or Protect Animals Independent line! Make your plan to vote!  🗳️,Curtis Sliwa
"Follow the money of those who want to silence us, the hard working people of NYC. That’s the answer. Reject them. Those who’ve been ignored year after year won’t not fooled. Make your plan to vote- your vote matters more than ever: ",Curtis Sliwa
"“If you can beat the oligarchs here…that will send a message to every community in America that real change is possible.”

More of my conversation with  on democracy, oligarchy and his time as Mayor.",Zohran Mamdani
,Zohran Mamdani
Today I had the honor of visiting the Darul Hidaya Mosque in Jackson Heights— thank you for your support & friendship: I won’t let you down,Andrew Cuomo
Find out where you early vote. ,Zohran Mamdani
,Curtis Sliwa
